timestamp,channel 1,channel 2,channel 3,channel 4
11/02/2021 18:16:04,>Range,56763.9,>Range,>Range
11/02/2021 18:16:05,>Range,56840.7,>Range,>Range
11/02/2021 18:16:06,>Range,56924.3,>Range,>Range
11/02/2021 18:16:07,>Range,56980.2,>Range,>Range
11/02/2021 18:16:08,>Range,56983.5,>Range,>Range
11/02/2021 18:16:09,>Range,57068.5,>Range,>Range
11/02/2021 18:16:10,>Range,57137,>Range,>Range
11/02/2021 18:16:11,>Range,57097.6,>Range,>Range
11/02/2021 18:16:12,>Range,57048.1,>Range,>Range
11/02/2021 18:16:13,>Range,57053.5,>Range,>Range
11/02/2021 18:16:14,>Range,57084.5,>Range,>Range
11/02/2021 18:16:15,>Range,57101,>Range,>Range
11/02/2021 18:16:16,>Range,57131.8,>Range,>Range
11/02/2021 18:16:17,>Range,57155.3,>Range,>Range
11/02/2021 18:16:18,>Range,57177.1,>Range,>Range
11/02/2021 18:16:19,>Range,57118.9,>Range,>Range
11/02/2021 18:16:20,>Range,57055.8,>Range,>Range
11/02/2021 18:16:21,>Range,57033.9,>Range,>Range
11/02/2021 18:16:22,>Range,57087.3,>Range,>Range
11/02/2021 18:16:23,>Range,57062.3,>Range,>Range
11/02/2021 18:16:24,>Range,57017.2,>Range,>Range
11/02/2021 18:16:25,>Range,57069.4,>Range,>Range
11/02/2021 18:16:26,>Range,57117.4,>Range,>Range
11/02/2021 18:16:27,>Range,57144.2,>Range,>Range
11/02/2021 18:16:28,>Range,57177.8,>Range,>Range
11/02/2021 18:16:29,>Range,57126,>Range,>Range
11/02/2021 18:16:30,>Range,57045.3,>Range,>Range
11/02/2021 18:16:31,>Range,57060.3,>Range,>Range
11/02/2021 18:16:32,>Range,57004.3,>Range,>Range
11/02/2021 18:16:33,>Range,56917.4,>Range,>Range
11/02/2021 18:16:34,>Range,56824.3,>Range,>Range
11/02/2021 18:16:35,>Range,56712.3,>Range,>Range
11/02/2021 18:16:36,>Range,56634.8,>Range,>Range
11/02/2021 18:16:37,>Range,56502.5,>Range,>Range
11/02/2021 18:16:38,>Range,56358.6,>Range,>Range
11/02/2021 18:16:39,>Range,56180.7,>Range,>Range
11/02/2021 18:16:40,>Range,56041.5,>Range,>Range
11/02/2021 18:16:41,>Range,55928.3,>Range,>Range
11/02/2021 18:16:42,>Range,55803.5,>Range,>Range
11/02/2021 18:16:43,>Range,55673.6,>Range,>Range
11/02/2021 18:16:44,>Range,55539.8,>Range,>Range
11/02/2021 18:16:45,>Range,55442.9,>Range,>Range
11/02/2021 18:16:46,>Range,55357.7,>Range,>Range
11/02/2021 18:16:47,>Range,55279.6,>Range,>Range
11/02/2021 18:16:48,>Range,55256.9,>Range,>Range
11/02/2021 18:16:49,>Range,55298.3,>Range,>Range
11/02/2021 18:16:50,>Range,55277.6,>Range,>Range
11/02/2021 18:16:51,>Range,55225.1,>Range,>Range
11/02/2021 18:16:52,>Range,55210.4,>Range,>Range
11/02/2021 18:16:53,>Range,55222.3,>Range,>Range
11/02/2021 18:16:54,>Range,55269.1,>Range,>Range
11/02/2021 18:16:55,>Range,55293.8,>Range,>Range
11/02/2021 18:16:56,>Range,55293,>Range,>Range
11/02/2021 18:16:57,>Range,55312.5,>Range,>Range
11/02/2021 18:16:58,>Range,55282.2,>Range,>Range
11/02/2021 18:16:59,>Range,55285,>Range,>Range
11/02/2021 18:17:00,>Range,55258.8,>Range,>Range
11/02/2021 18:17:01,>Range,55161.2,>Range,>Range
11/02/2021 18:17:02,>Range,55110.1,>Range,>Range
11/02/2021 18:17:03,>Range,55094.6,>Range,>Range
11/02/2021 18:17:04,>Range,55112.2,>Range,>Range
11/02/2021 18:17:05,>Range,55139.3,>Range,>Range
11/02/2021 18:17:06,>Range,55175.7,>Range,>Range
11/02/2021 18:17:07,>Range,55172.4,>Range,>Range
11/02/2021 18:17:08,>Range,55206.8,>Range,>Range
11/02/2021 18:17:09,>Range,55263.4,>Range,>Range
11/02/2021 18:17:10,>Range,55276,>Range,>Range
11/02/2021 18:17:11,>Range,55360.2,>Range,>Range
11/02/2021 18:17:12,>Range,55449.3,>Range,>Range
11/02/2021 18:17:13,>Range,55530.8,>Range,>Range
11/02/2021 18:17:14,>Range,55570.7,>Range,>Range
11/02/2021 18:17:15,>Range,55664.4,>Range,>Range
11/02/2021 18:17:16,>Range,55723.6,>Range,>Range
11/02/2021 18:17:17,>Range,55706.6,>Range,>Range
11/02/2021 18:17:18,>Range,55660.6,>Range,>Range
11/02/2021 18:17:19,>Range,55626.9,>Range,>Range
11/02/2021 18:17:20,>Range,55637.3,>Range,>Range
11/02/2021 18:17:21,>Range,55646.7,>Range,>Range
11/02/2021 18:17:22,>Range,55631.5,>Range,>Range
11/02/2021 18:17:23,>Range,55608.8,>Range,>Range
11/02/2021 18:17:24,>Range,55629.9,>Range,>Range
11/02/2021 18:17:25,>Range,55602,>Range,>Range
11/02/2021 18:17:26,>Range,55577.7,>Range,>Range
11/02/2021 18:17:27,>Range,55584.8,>Range,>Range
11/02/2021 18:17:28,>Range,55535.3,>Range,>Range
11/02/2021 18:17:29,>Range,55468.4,>Range,>Range
11/02/2021 18:17:30,>Range,55500.6,>Range,>Range
11/02/2021 18:17:31,>Range,55495.9,>Range,>Range
11/02/2021 18:17:32,>Range,55495.7,>Range,>Range
11/02/2021 18:17:33,>Range,55477,>Range,>Range
11/02/2021 18:17:34,>Range,55453.5,>Range,>Range
11/02/2021 18:17:35,>Range,55565.6,>Range,>Range
11/02/2021 18:17:36,>Range,55555.7,>Range,>Range
11/02/2021 18:17:37,>Range,55539.4,>Range,>Range
11/02/2021 18:17:38,>Range,55485.3,>Range,>Range
11/02/2021 18:17:39,>Range,55464.1,>Range,>Range
11/02/2021 18:17:40,>Range,55441.1,>Range,>Range
11/02/2021 18:17:41,>Range,55441.5,>Range,>Range
11/02/2021 18:17:42,>Range,55478.7,>Range,>Range
11/02/2021 18:17:43,>Range,55482.1,>Range,>Range
11/02/2021 18:17:44,>Range,55511.9,>Range,>Range
11/02/2021 18:17:45,>Range,55454.4,>Range,>Range
11/02/2021 18:17:46,>Range,55339.6,>Range,>Range
11/02/2021 18:17:47,>Range,55251.1,>Range,>Range
11/02/2021 18:17:48,>Range,55175,>Range,>Range
11/02/2021 18:17:49,>Range,55155.9,>Range,>Range
11/02/2021 18:17:50,>Range,55093.4,>Range,>Range
11/02/2021 18:17:51,>Range,55046.5,>Range,>Range
11/02/2021 18:17:52,>Range,55060.9,>Range,>Range
11/02/2021 18:17:53,>Range,55136.8,>Range,>Range
11/02/2021 18:17:54,>Range,55141.6,>Range,>Range
11/02/2021 18:17:55,>Range,55113.8,>Range,>Range
11/02/2021 18:17:56,>Range,55123.3,>Range,>Range
11/02/2021 18:17:57,>Range,55162.8,>Range,>Range
11/02/2021 18:17:58,>Range,55205.3,>Range,>Range
11/02/2021 18:17:59,>Range,55231,>Range,>Range
11/02/2021 18:18:00,>Range,55245.9,>Range,>Range
11/02/2021 18:18:01,>Range,55195.1,>Range,>Range
11/02/2021 18:18:02,>Range,55077.8,>Range,>Range
11/02/2021 18:18:03,>Range,55104.9,>Range,>Range
11/02/2021 18:18:04,>Range,55198.7,>Range,>Range
11/02/2021 18:18:05,>Range,55270.8,>Range,>Range
11/02/2021 18:18:06,>Range,55276.4,>Range,>Range
11/02/2021 18:18:07,>Range,55228,>Range,>Range
11/02/2021 18:18:08,>Range,55185.7,>Range,>Range
11/02/2021 18:18:09,>Range,55137.6,>Range,>Range
11/02/2021 18:18:10,>Range,55076.6,>Range,>Range
11/02/2021 18:18:11,>Range,55060.7,>Range,>Range
11/02/2021 18:18:12,>Range,55038.8,>Range,>Range
11/02/2021 18:18:13,>Range,55050.5,>Range,>Range
11/02/2021 18:18:14,>Range,55066.2,>Range,>Range
11/02/2021 18:18:15,>Range,55084.8,>Range,>Range
11/02/2021 18:18:16,>Range,55086.8,>Range,>Range
11/02/2021 18:18:17,>Range,55101.4,>Range,>Range
11/02/2021 18:18:18,>Range,54997.5,>Range,>Range
11/02/2021 18:18:19,>Range,54904.5,>Range,>Range
11/02/2021 18:18:20,>Range,54905,>Range,>Range
11/02/2021 18:18:21,>Range,54932,>Range,>Range
11/02/2021 18:18:22,>Range,54952.4,>Range,>Range
11/02/2021 18:18:23,>Range,54943.1,>Range,>Range
11/02/2021 18:18:24,>Range,54952.9,>Range,>Range
11/02/2021 18:18:25,>Range,54955.6,>Range,>Range
11/02/2021 18:18:26,>Range,54952.3,>Range,>Range
11/02/2021 18:18:27,>Range,54936.4,>Range,>Range
11/02/2021 18:18:28,>Range,54906.2,>Range,>Range
11/02/2021 18:18:29,>Range,54851.7,>Range,>Range
11/02/2021 18:18:30,>Range,54769,>Range,>Range
11/02/2021 18:18:31,>Range,54682.9,>Range,>Range
11/02/2021 18:18:32,>Range,54649.4,>Range,>Range
11/02/2021 18:18:33,>Range,54672.3,>Range,>Range
11/02/2021 18:18:34,>Range,54709.8,>Range,>Range
11/02/2021 18:18:35,>Range,54777.9,>Range,>Range
11/02/2021 18:18:36,>Range,54836.6,>Range,>Range
11/02/2021 18:18:37,>Range,54853.3,>Range,>Range
11/02/2021 18:18:38,>Range,54817.3,>Range,>Range
11/02/2021 18:18:39,>Range,54799.9,>Range,>Range
11/02/2021 18:18:40,>Range,54795.3,>Range,>Range
11/02/2021 18:18:41,>Range,54764.3,>Range,>Range
11/02/2021 18:18:42,>Range,54714.8,>Range,>Range
