time,flow_scfh
10/16/2021 18:18:47,136289.7
10/16/2021 18:18:48,134309.6
10/16/2021 18:18:49,133866
10/16/2021 18:18:50,134817.5
10/16/2021 18:18:51,134078.2
10/16/2021 18:18:52,134699
10/16/2021 18:18:53,135227.1
10/16/2021 18:18:54,134233.2
10/16/2021 18:18:55,135072.7
10/16/2021 18:18:56,134765.9
10/16/2021 18:18:57,134912.2
10/16/2021 18:18:58,135851.5
10/16/2021 18:19:00,135320.7
10/16/2021 18:19:01,136019
10/16/2021 18:19:02,135955.9
10/16/2021 18:19:03,13737.7
10/16/2021 18:19:04,136576.6
10/16/2021 18:19:05,133943.3
10/16/2021 18:19:06,135831.8
10/16/2021 18:19:07,136744.2
10/16/2021 18:19:08,135389.7
10/16/2021 18:19:09,136259.2
10/16/2021 18:19:10,135075.3
10/16/2021 18:19:11,135670
10/16/2021 18:19:12,137871.8
10/16/2021 18:19:13,134339.7
10/16/2021 18:19:14,134781.9
10/16/2021 18:19:15,135770.2
10/16/2021 18:19:16,135519.3
10/16/2021 18:19:17,137173.8
10/16/2021 18:19:18,137062.6
10/16/2021 18:19:19,135168.3
10/16/2021 18:19:20,135542.2
10/16/2021 18:19:21,136406.3
10/16/2021 18:19:22,136153.3
10/16/2021 18:19:23,137560.3
10/16/2021 18:19:24,137401.4
10/16/2021 18:19:25,136448.3
10/16/2021 18:19:26,137246.7
10/16/2021 18:19:27,136124.6
10/16/2021 18:19:28,136799.5
10/16/2021 18:19:29,138498.1
10/16/2021 18:19:30,137777.9
10/16/2021 18:19:31,136126.3
10/16/2021 18:19:32,137470.8
10/16/2021 18:19:33,137401.2
10/16/2021 18:19:34,135685
10/16/2021 18:19:35,135914.5
10/16/2021 18:19:36,137010.3
10/16/2021 18:19:37,137645.3
10/16/2021 18:19:40,137171.5
10/16/2021 18:19:41,137600.9
10/16/2021 18:19:42,137253.6
10/16/2021 18:19:43,138758.1
10/16/2021 18:19:45,136100.2
10/16/2021 18:19:46,136949.5
10/16/2021 18:19:47,137917.7
10/16/2021 18:19:48,137350.9
10/16/2021 18:19:49,138774.1
10/16/2021 18:19:50,138322.6
10/16/2021 18:19:51,136410.1
10/16/2021 18:19:52,138238.7
10/16/2021 18:19:53,138538.1
10/16/2021 18:19:54,138009.6
