,Stanford_timestamp,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,Operator_Timestamp,PlumeDevelopIndex,tc_Classification
57,2021-10-22 19:15:00+00:00,1118.289949468882,1056.7253680708932,1180.9991142870128,0,,,1,4.0,218645.0,False,True,1203.8241706442561,1137.5501229471188,1271.0849633872149,1179.8516383550632,1115.304942408915,1247.493516376074,2021-10-22 19:15:00+00:00,< 5,NE
58,2021-10-22 19:30:00+00:00,909.259159600148,857.6425504295443,960.8990890607496,0,,,1,4.0,218645.0,True,True,613.301148721022,578.4197918652928,648.8174897906928,812.5592685860935,766.0723914137882,859.0726673674375,2021-10-22 19:30:00+00:00,< 10,FN
59,2021-10-22 19:45:00+00:00,674.7921941992955,636.5195477971018,713.2865975263682,0,,,1,4.0,218645.0,True,True,687.0087155414695,647.1691238421646,726.2261304031281,681.1095799391949,642.7005491102667,719.9258447203471,2021-10-22 19:45:00+00:00,> 15,FN
60,2021-10-22 20:00:00+00:00,819.6556550068022,773.0501031686528,865.2403994833161,58.17,,,1,4.0,218645.0,True,True,825.1635377516883,777.9926440583063,871.8448578658565,824.6161242929628,778.69987766845,871.9878992647676,2021-10-22 20:00:00+00:00,< 15,TP
61,2021-10-22 20:15:00+00:00,390.82945050138284,366.38684376838773,415.1580601756701,0.35,,,1,4.0,218645.0,True,True,272.10118614706386,253.8110782517372,290.5415956335833,271.29397183085587,252.8534089890846,289.77276701652755,2021-10-22 20:15:00+00:00,< 15,TP
62,2021-10-22 20:30:00+00:00,378.95323181049434,355.4777699066988,402.200038863283,0,,,1,4.0,218645.0,True,True,542.7291776454607,511.0211969502271,574.253762868451,428.4121437091026,402.5623635518546,454.40679329462404,2021-10-22 20:30:00+00:00,< 5,FN
63,2021-10-22 20:45:00+00:00,521.9717670896721,491.3980430758384,552.7046559746424,0,,,1,4.0,218645.0,True,True,514.2369834851768,483.80744099040675,544.8858490677826,518.8658957713426,488.0520064874443,549.9585771978685,2021-10-22 20:45:00+00:00,> 15,FN
64,2021-10-22 21:00:00+00:00,455.4314475949026,428.23949660338303,482.8649306084339,0,,,1,4.0,218645.0,True,False,356.38505155450946,334.0963080868598,378.85387882564265,429.8520260217266,403.57312393698885,455.92807594222216,2021-10-22 21:00:00+00:00,< 5,FN
65,2021-10-23 18:15:00+00:00,-7.453071595720329,-44.64918710198249,29.118928486457623,0.22,,,1,8.0,218645.0,False,True,-7.809965866948383,-45.66233535864462,29.832396477960028,-7.558405648581527,-44.75691101336685,29.47351430395546,2021-10-23 18:15:00+00:00,> 15,NE
66,2021-10-23 18:30:00+00:00,1502.2619086961884,1409.7275092320895,1594.0362062290696,0,,,1,8.0,218645.0,True,True,3972.335892145962,3756.302409334204,4194.779197889089,2145.6727728267338,2019.6065531226352,2271.3307848903255,2021-10-23 18:30:00+00:00,< 5,FN
67,2021-10-23 18:45:00+00:00,4011.936531715502,3792.8815838172336,4239.8324753366915,0,,,1,8.0,218645.0,True,True,3983.321106782231,3766.6864025463883,4199.4938753455735,3979.6933994344204,3764.7893495398152,4202.578404053757,2021-10-23 18:45:00+00:00,> 15,FN
68,2021-10-24 17:15:00+00:00,21.18283308291234,-16.890414775344873,58.945554009531676,474.7,,,1,8.0,218645.0,True,True,86.40207692235869,48.81331025160329,124.33069634869028,37.091880376865824,-1.3941626531098512,75.98427172509464,2021-10-24 17:15:00+00:00,> 15,FP
69,2021-10-24 17:30:00+00:00,3138.004541640502,2960.664008967789,3314.005369054498,205.6,,,1,8.0,218645.0,True,True,4238.422717922765,4006.1907178958986,4472.9530559676405,4199.56597128348,3969.102406202073,4432.377576868512,2021-10-24 17:30:00+00:00,< 15,TP
70,2021-10-24 17:45:00+00:00,0.0,0.0,0.0,0.86,,,1,8.0,218645.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-24 17:45:00+00:00,> 15,FP
