RH,Temperature,"_id","_index","_score","_type","all_emission",date,device,"device.keyword",emission,"emission_voc",id,"max_voc",methane,operator,region,"short_name","short_name.keyword",site,status,"status.keyword","wind_direction","wind_direction_std","wind_speed"
"31.5","33.5","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 15:45","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T21:45","0.769","3.13",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,227,"7.8","6.3"
30,"33.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 15:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T21:15","0.73","3.07",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,199,"5.6","7.5"
29,"33.7","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 15:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T21:00","0.744","3.1",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,188,"10.4","4.5"
"27.6",33,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 14:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T20:15","0.682","3.01",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,188,"8.8","6.8"
"28.3","32.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 14:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T20:00","0.682","3.11",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,204,"6.2","5.7"
"29.5","32.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 13:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T19:45","0.67","3.13",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,218,"7.3","6.7"
"28.3","32.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 13:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T19:30","0.655","3.01",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,198,"5.9","7.4"
"26.7","32.7","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 13:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T19:15","0.638","2.94",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,210,"6.7","6.8"
26,"32.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 13:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T19:00","0.63","2.95",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,199,"8.6",3
"26.4",32,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 12:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T18:45","0.613","2.9",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,211,"6.1","6.2"
"26.4","31.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 12:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T18:30","0.606","3.21",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,225,"5.8","3.8"
"30.5","31.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 12:15","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T18:15","0.659","3.18",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,233,"8.2","3.7"
"29.6","31.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 12:00","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T18:00","0.659","3.06",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,227,"17.15","3.9"
"26.4",31,"Site Map",methanemizer,"-","_doc","0, 0.531, 0, 0, 0, 0, 0, 0, 0","Oct 25, 2021 @ 11:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T17:45","0.671","6.89",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,213,7,"2.4"
26,"30.7","Site Map",methanemizer,"-","_doc","0, 0, 7.203, 0.076, 0, 0, 0, 0, 0","Oct 25, 2021 @ 11:30","Stanford-2","Stanford-2",0,3,"Stanford:2021-10-25T17:30","1.061","33.22",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,196,"7.3","3.2"
"24.1","30.2","Site Map",methanemizer,"-","_doc","46.498, 0, 0, 0, 0, 0, 0, 0, 0","Oct 25, 2021 @ 11:15","Stanford-1","Stanford-1","46.5",0,"Stanford:2021-10-25T17:15","2.026","83.66",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,205,"21.9","2.7"
"24.3","29.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 11:00","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T17:00","7.163","13.76",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,171,"6.8","4.1"
"23.9","29.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 10:45","Stanford-9","Stanford-9",0,0,"Stanford:2021-10-25T16:45","0.545","2.51",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,182,"6.5","4.6"
"23.9","29.3","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 10:30","Stanford-9","Stanford-9",0,0,"Stanford:2021-10-25T16:30","0.482","2.51",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,178,"7.2","3.9"
"24.7","28.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 10:15","Stanford-9","Stanford-9",0,0,"Stanford:2021-10-25T16:15","0.465","2.58",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,164,"6.5","4.8"
"26.4","28.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 10:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T16:00","0.477","2.88",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,176,6,"3.9"
"28.3","27.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 09:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T15:45","0.499","2.99",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,172,7,"2.7"
"31.3","26.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 09:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T15:30","0.521","3.17",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,182,"6.6","2.6"
"34.7","25.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 09:15","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T15:15","0.544","3.35",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,226,"5.8","1.3"
"38.1","24.3","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 09:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T15:00","0.548","4.03",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,215,"6.9",1
"45.2",23,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 08:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T14:45","0.586","4.37",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,154,"13.8","0.3"
"51.4","21.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 08:30","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T14:30","0.577","4.07",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,129,"18.2","0.5"
"54.2","19.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 08:15","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T14:15","0.561","4.43",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,158,15,"1.1"
"56.9","19.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 07:30","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T13:30","0.572","5.67",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,183,"4.6","2.8"
"63.2","19.5","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 07:15","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T13:15","0.666","5.76",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,186,"5.6","3.3"
"75.2","18.5","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 07:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T13:00","0.711","5.17",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,187,"4.3","2.9"
"72.7","17.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 06:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T12:45","0.718","5.08",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,229,"2.8","2.1"
"73.1","18.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 06:30","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T12:30","0.714","4.74",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,236,"3.8","1.8"
"74.5","18.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 06:15","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T12:15","0.718","4.57",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,203,5,"1.4"
63,"17.3","Site Map",methanemizer,"-","_doc","0.09, 0, 0, 0, 0, 0, 0, 0, 0","Oct 25, 2021 @ 05:30","Stanford-1","Stanford-1","0.09",0,"Stanford:2021-10-25T11:30","0.594","4.15",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,147,"51.6","0.4"
"59.9","17.6","Site Map",methanemizer,"-","_doc","0, 0, 0, 0, 0, 0, 0, 0.063, 0","Oct 25, 2021 @ 05:00","Stanford-1","Stanford-1",0,0,"Stanford:2021-10-25T11:00","0.574","4.13",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,102,14,"0.8"
"52.7","18.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 04:15","Stanford-5","Stanford-5",0,0,"Stanford:2021-10-25T10:15","0.541","3.34",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,305,"5.4","0.9"
"51.2","18.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 03:45","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T09:45","0.534","3.84",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,37,"37.7","0.1"
51,"18.5","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 03:30","Stanford-1","Stanford-1",0,0,"Stanford:2021-10-25T09:30","0.528","3.97",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,103,"6.9","0.4"
