time,release_scfh
8/3/2021 16:50,34597.05
8/3/2021 16:50,42506.16
8/3/2021 16:50,48384.67
8/3/2021 16:50,51121.86
8/3/2021 16:50,55915.88
8/3/2021 16:50,56049.81
8/3/2021 16:51,55980.36
8/3/2021 16:51,56337.61
8/3/2021 16:51,56372.45
8/3/2021 16:51,56267.8
8/3/2021 16:51,56463.33
8/3/2021 16:51,56785
8/3/2021 16:52,56497.49
8/3/2021 16:52,56394.01
8/3/2021 16:52,56485.09
8/3/2021 16:52,56666.18
8/3/2021 16:52,56761.4
8/3/2021 16:52,56872.31
8/3/2021 16:53,56819.54
8/3/2021 16:53,57266.97
8/3/2021 16:53,57108.93
8/3/2021 16:53,57353.88
8/3/2021 16:53,57281.88
8/3/2021 16:53,57377.48
8/3/2021 16:54,57613.68
8/3/2021 16:54,57131.5
8/3/2021 16:54,55835.25
8/3/2021 16:54,51185.52
8/3/2021 16:54,51040.95
8/3/2021 16:54,50176.85
8/3/2021 16:55,46516.63
8/3/2021 16:55,46397.11
8/3/2021 16:55,46691.33
8/3/2021 16:55,46531.62
8/3/2021 16:55,46563.34
8/3/2021 16:55,46303.05
8/3/2021 16:56,46346.61
8/3/2021 16:56,46397.61
8/3/2021 16:56,46244.43
8/3/2021 16:56,46222.95
8/3/2021 16:56,46410.09
8/3/2021 16:56,46118.43
8/3/2021 16:57,46229.3
8/3/2021 16:57,46307.83
8/3/2021 16:57,46193.1
8/3/2021 16:57,46264.68
8/3/2021 16:57,46094.4
8/3/2021 16:57,46065.34
8/3/2021 16:58,42069.93
8/3/2021 16:58,41935.38
8/3/2021 16:58,41881.59
8/3/2021 16:58,41977.1
8/3/2021 16:58,41791.04
8/3/2021 16:58,41579.55
8/3/2021 16:59,41553.46
8/3/2021 16:59,41569.19
8/3/2021 16:59,41458.65
8/3/2021 16:59,41581.79
8/3/2021 16:59,41547.12
8/3/2021 16:59,41513.3
8/3/2021 17:00,41592.89
8/3/2021 17:00,41553.67
8/3/2021 17:00,41417.14
8/3/2021 17:00,41314.42
8/3/2021 17:00,41491.61
8/3/2021 17:00,41453.59
8/3/2021 17:01,41123.78
8/3/2021 17:01,41464.33
8/3/2021 17:01,41369.8
8/3/2021 17:01,41243.27
8/3/2021 17:01,41245.91
8/3/2021 17:01,41223.3
8/3/2021 17:02,41367.98
8/3/2021 17:02,41257.47
8/3/2021 17:02,41075.99
8/3/2021 17:02,41805.85
8/3/2021 17:02,41141.45
8/3/2021 17:02,41232.95
8/3/2021 17:03,40963.3
8/3/2021 17:03,40861.81
8/3/2021 17:03,40915.73
8/3/2021 17:03,40829.84
8/3/2021 17:03,40968.9
8/3/2021 17:03,40794.09
8/3/2021 17:04,40900.38
8/3/2021 17:04,40812.91
8/3/2021 17:04,40733.63
8/3/2021 17:04,40861.06
8/3/2021 17:04,40523.37
8/3/2021 17:04,40560.36
8/3/2021 17:05,40538
8/3/2021 17:05,40618.04
8/3/2021 17:05,40548.45
8/3/2021 17:05,40513.8
8/3/2021 17:05,40465.84
8/3/2021 17:05,40425.23
8/3/2021 17:06,40453.62
8/3/2021 17:06,40575.28
8/3/2021 17:06,40365.65
8/3/2021 17:06,40383
8/3/2021 17:06,40329.73
8/3/2021 17:06,43559.07
8/3/2021 17:07,46859.74
8/3/2021 17:07,49881.8
8/3/2021 17:07,53015.12
8/3/2021 17:07,55555.13
8/3/2021 17:07,54454.43
8/3/2021 17:07,52731.58
8/3/2021 17:08,52556.45
8/3/2021 17:08,52316.21
8/3/2021 17:08,52442.68
8/3/2021 17:08,50354.74
8/3/2021 17:08,49422.46
8/3/2021 17:08,48508.53
8/3/2021 17:09,45961.1
8/3/2021 17:09,45712.59
8/3/2021 17:09,45632.54
8/3/2021 17:09,45790.77
8/3/2021 17:09,45663.2
8/3/2021 17:09,45664.88
8/3/2021 17:10,45546.13
8/3/2021 17:10,45785.68
8/3/2021 17:10,45501.74
8/3/2021 17:10,45535.47
8/3/2021 17:10,45500.56
8/3/2021 17:10,45379.29
8/3/2021 17:11,45545.2
8/3/2021 17:11,45508.64
8/3/2021 17:11,45143.8
8/3/2021 17:11,45409.05
8/3/2021 17:11,45139.22
8/3/2021 17:11,45157.2
8/3/2021 17:12,44923.53
8/3/2021 17:12,45184.41
8/3/2021 17:12,45179.45
8/3/2021 17:12,45082.76
8/3/2021 17:12,44923.47
8/3/2021 17:12,44783.58
8/3/2021 17:13,45029.14
8/3/2021 17:13,44874.51
8/3/2021 17:13,45008.57
8/3/2021 17:13,44971.52
8/3/2021 17:13,44993.5
8/3/2021 17:13,44971.4
8/3/2021 17:14,44856.8
8/3/2021 17:14,44705.54
8/3/2021 17:14,44638.57
8/3/2021 17:14,44561.14
8/3/2021 17:14,44679.35
8/3/2021 17:14,44841.64
8/3/2021 17:15,44726.31
8/3/2021 17:15,44698.19
8/3/2021 17:15,44708.92
8/3/2021 17:15,44606.8
8/3/2021 17:15,44469.97
8/3/2021 17:15,44253.67
8/3/2021 17:16,44511.9
8/3/2021 17:16,44272.57
8/3/2021 17:16,44198.62
8/3/2021 17:16,44350.78
8/3/2021 17:16,44083.72
8/3/2021 17:16,43902.65
8/3/2021 17:17,43970.96
8/3/2021 17:17,43865.44
8/3/2021 17:17,43876.15
8/3/2021 17:17,43923.47
8/3/2021 17:17,43566.85
8/3/2021 17:17,43903.48
8/3/2021 17:18,43829.55
8/3/2021 17:18,43786.31
8/3/2021 17:18,43732.02
8/3/2021 17:18,43790.5
8/3/2021 17:18,43530.37
8/3/2021 17:18,43907.08
8/3/2021 17:19,43721.73
8/3/2021 17:19,43668.86
8/3/2021 17:19,43478.72
8/3/2021 17:19,43617.31
8/3/2021 17:19,43535.13
8/3/2021 17:19,43531.68
8/3/2021 17:20,43472.34
8/3/2021 17:20,43352.11
8/3/2021 17:20,43338.13
